Symbol,Name of company,Series,Date of listing,Face value
ONWARDTEC,Onward Technologies Limited,EQ,07-MAR-2001,10
OPTIEMUS,Optiemus Infracom Limited,EQ,08-AUG-2017,10
ORIENTBELL,Orient Bell Limited,EQ,14-FEB-2007,10
ORIENTCEM,Orient Cement Limited,EQ,12-JUL-2013,1
ORIENTELEC,Orient Electric Limited,EQ,14-MAY-2018,1
ORIENTHOT,Oriental Hotels Limited,EQ,27-AUG-1998,1
ORIENTPPR,Orient Paper & Industries Limited,EQ,29-MAR-1995,1
ORISSAMINE,The Orissa Minerals Development Company Limited,EQ,29-SEP-2010,1
OSWALAGRO,Oswal Agro Mills Limited,BE,29-MAR-1995,10
OSWALGREEN,Oswal Greentech Limited,EQ,28-AUG-1996,10
PAGEIND,Page Industries Limited,EQ,16-MAR-2007,10
PAISALO,Paisalo Digital Limited,EQ,17-OCT-2011,1
PAKKA,PAKKA LIMITED,EQ,11-JUL-2023,10
PANACEABIO,Panacea Biotec Limited,EQ,17-APR-1996,1
PANAMAPET,Panama Petrochem Limited,EQ,30-SEP-2011,2
PARADEEP,Paradeep Phosphates Limited,EQ,27-MAY-2022,10
PARAGMILK,Parag Milk Foods Limited,EQ,19-MAY-2016,10
PASUPTAC,Pasupati Acrylon Limited,EQ,12-OCT-2021,10
PATELENG,Patel Engineering Limited,EQ,24-FEB-2005,1
PAYTM,One 97 Communications Limited,EQ,18-NOV-2021,1
PCBL,PCBL LIMITED,EQ,29-MAR-1995,1
PCJEWELLER,PC Jeweller Limited,EQ,27-DEC-2012,10
PDMJEPAPER,Pudumjee Paper Products Limited,EQ,30-MAR-2016,1
PDSL,PDS Limited,EQ,21-OCT-2014,2
PEL,Piramal Enterprises Limited,EQ,08-FEB-1995,2
PENIND,Pennar Industries Limited,EQ,25-NOV-2010,5
PENINLAND,Peninsula Land Limited,EQ,08-FEB-1995,2
PERSISTENT,Persistent Systems Limited,EQ,06-APR-2010,5
PETRONET,Petronet LNG Limited,EQ,26-MAR-2004,10
PFC,Power Finance Corporation Limited,EQ,23-FEB-2007,10
PFIZER,Pfizer Limited,EQ,28-APR-1999,10
PGEL,PG Electroplast Limited,EQ,26-SEP-2011,1
PGHH,Procter & Gamble Hygiene and Health Care Limited,EQ,07-JUL-2004,10
PGHL,Procter & Gamble Health Limited,EQ,24-APR-1996,10
PHOENIXLTD,The Phoenix Mills Limited,EQ,23-APR-2007,2
PIDILITIND,Pidilite Industries Limited,EQ,29-MAR-1995,1
PIIND,PI Industries Limited,EQ,15-JUN-2011,1
PILANIINVS,Pilani Investment and Industries Corporation Limited,EQ,08-DEC-2015,10
PITTIENG,Pitti Engineering Limited,EQ,02-FEB-2007,5
PIXTRANS,Pix Transmissions Limited,EQ,28-APR-2022,10
PLASTIBLEN,Plastiblends India Limited,BE,28-DEC-2006,5
PNB,Punjab National Bank,EQ,24-APR-2002,2
PNBGILTS,PNB Gilts Limited,EQ,18-SEP-2000,10
PNBHOUSING,PNB Housing Finance Limited,EQ,07-NOV-2016,10
PNC,Pritish Nandy Communications Limited,EQ,11-DEC-2000,10
PNCINFRA,PNC Infratech Limited,EQ,26-MAY-2015,2
POCL,Pondy Oxides & Chemicals Limited,EQ,06-MAR-2023,10
PODDARMENT,Poddar Pigments Limited,EQ,22-NOV-2016,10
POKARNA,Pokarna Limited,EQ,07-JUL-2016,2
POLICYBZR,PB Fintech Limited,EQ,15-NOV-2021,2
POLYCAB,Polycab India Limited,EQ,16-APR-2019,10
POLYMED,Poly Medicure Limited,EQ,07-DEC-2011,5
POLYPLEX,Polyplex Corporation Limited,EQ,11-APR-2003,10
PONNIERODE,Ponni Sugars (Erode) Limited,EQ,16-APR-2002,10
POONAWALLA,Poonawalla Fincorp Limited,EQ,27-APR-2004,2
POWERGRID,Power Grid Corporation of India Limited,EQ,05-OCT-2007,10
POWERINDIA,Hitachi Energy India Limited,EQ,30-MAR-2020,2
POWERMECH,Power Mech Projects Limited,EQ,26-AUG-2015,10
PPAP,PPAP Automotive Limited,EQ,11-JAN-2008,10
PPL,Prakash Pipes Limited,EQ,14-JUN-2019,10
PPLPHARMA,Piramal Pharma Limited,EQ,19-OCT-2022,10
PRAJIND,Praj Industries Limited,EQ,11-OCT-1995,2
PRECAM,Precision Camshafts Limited,EQ,08-FEB-2016,10
PRECWIRE,Precision Wires India Limited,EQ,06-SEP-1995,1
PRESTIGE,Prestige Estates Projects Limited,EQ,27-OCT-2010,10
PRICOLLTD,Pricol Limited,EQ,10-FEB-2017,1
PRIMESECU,Prime Securities Limited,EQ,17-JUN-2005,5
PRINCEPIPE,Prince Pipes And Fittings Limited,EQ,30-DEC-2019,10
PRIVISCL,Privi Speciality Chemicals Limited,EQ,08-MAY-2015,10
PROZONER,Prozone Realty Limited,EQ,12-SEP-2012,2
PRSMJOHNSN,Prism Johnson Limited,EQ,20-AUG-2003,10
PRUDENT,Prudent Corporate Advisory Services Limited,EQ,20-MAY-2022,5
PSB,Punjab & Sind Bank,EQ,30-DEC-2010,10
PSPPROJECT,PSP Projects Limited,EQ,29-MAY-2017,10
PTC,PTC India Limited,EQ,07-APR-2004,10
PTL,PTL Enterprises Limited,EQ,29-JAN-2007,1
PUNJABCHEM,Punjab Chemicals & Crop Protection Limited,EQ,08-MAR-2007,10
PVRINOX,PVR INOX Limited,EQ,04-JAN-2006,10
PYRAMID,Pyramid Technoplast Limited,EQ,29-AUG-2023,10
QUESS,Quess Corp Limited,EQ,12-JUL-2016,10
QUICKHEAL,Quick Heal Technologies Limited,EQ,18-FEB-2016,10
RACE,Race Eco Chain Limited,EQ,09-MAY-2023,10
RADHIKAJWE,Radhika Jeweltech Limited,EQ,18-JUL-2022,2
RADIANTCMS,Radiant Cash Management Services Limited,EQ,04-JAN-2023,1
RADICO,Radico Khaitan Limited,EQ,18-JUN-2003,2
RADIOCITY,Music Broadcast Limited,EQ,17-MAR-2017,2
RAILTEL,Railtel Corporation Of India Limited,EQ,26-FEB-2021,10
RAIN,Rain Industries Limited,EQ,03-MAR-2008,2
RAINBOW,Rainbow Childrens Medicare Limited,EQ,10-MAY-2022,10
RAJESHEXPO,Rajesh Exports Limited,EQ,09-FEB-2000,1
RAJRATAN,Rajratan Global Wire Limited,EQ,22-MAY-2020,2
RALLIS,Rallis India Limited,EQ,01-APR-1999,1
RAMANEWS,Shree Rama Newsprint Limited,EQ,20-SEP-2006,10
RAMAPHO,Rama Phosphates Limited,EQ,05-AUG-2022,10
RAMASTEEL,Rama Steel Tubes Limited,EQ,19-AUG-2015,1
RAMCOCEM,The Ramco Cements Limited,EQ,09-APR-1997,1
RAMCOIND,Ramco Industries Limited,EQ,06-NOV-1996,1
RAMKY,Ramky Infrastructure Limited,EQ,08-OCT-2010,10
RAMRAT,Ram Ratna Wires Limited,EQ,29-JUL-2022,5
RANASUG,Rana Sugars Limited,EQ,24-FEB-2005,10
RANEHOLDIN,Rane Holdings Limited,EQ,24-SEP-1997,10
RATEGAIN,Rategain Travel Technologies Limited,EQ,17-DEC-2021,1
RATNAMANI,Ratnamani Metals & Tubes Limited,EQ,09-MAY-2006,2
RAYMOND,Raymond Limited,EQ,18-OCT-1995,10
RBA,Restaurant Brands Asia Limited,EQ,14-DEC-2020,10
RBL,Rane Brake Lining Limited,BE,20-JUN-2008,10
RBLBANK,RBL Bank Limited,EQ,31-AUG-2016,10
RCF,Rashtriya Chemicals and Fertilizers Limited,EQ,07-JAN-1998,10
RECLTD,REC Limited,EQ,12-MAR-2008,10
REDINGTON,Redington Limited,EQ,15-FEB-2007,2
REDTAPE,Redtape Limited,EQ,11-AUG-2023,2
REFEX,Refex Industries Limited,EQ,03-DEC-2009,2
RELAXO,Relaxo Footwears Limited,EQ,17-JUN-2011,1
RELIANCE,Reliance Industries Limited,EQ,29-NOV-1995,10
RELIGARE,Religare Enterprises Limited,EQ,21-NOV-2007,10
RENUKA,Shree Renuka Sugars Limited,EQ,31-OCT-2005,1
REPCOHOME,Repco Home Finance Limited,EQ,01-APR-2013,10
REPL,Rudrabhishek Enterprises Limited,EQ,14-DEC-2020,10
REPRO,Repro India Limited,EQ,22-DEC-2005,10
RESPONIND,Responsive Industries Limited,EQ,29-OCT-2010,1
RGL,Renaissance Global Limited,EQ,12-DEC-2007,2
RHIM,RHI MAGNESITA INDIA LIMITED,EQ,12-MAR-2012,1
RICOAUTO,Rico Auto Industries Limited,EQ,12-MAY-2003,1
RIIL,Reliance Industrial Infrastructure Limited,EQ,29-NOV-1995,10
RISHABH,Rishabh Instruments Limited,EQ,11-SEP-2023,10
RITES,RITES Limited,EQ,02-JUL-2018,10
RKFORGE,Ramkrishna Forgings Limited,EQ,05-MAY-2004,2
RML,Rane (Madras) Limited,EQ,30-AUG-2005,10
ROHLTD,Royal Orchid Hotels Limited,EQ,06-FEB-2006,10
ROLEXRINGS,Rolex Rings Limited,EQ,09-AUG-2021,10
ROSSARI,Rossari Biotech Limited,EQ,23-JUL-2020,2
ROSSELLIND,Rossell India Limited,EQ,25-SEP-2012,2
ROTO,Roto Pumps Limited,EQ,21-APR-2022,2
ROUTE,ROUTE MOBILE LIMITED,EQ,21-SEP-2020,10
RPGLIFE,RPG Life Sciences Limited,EQ,10-JUN-2008,8
RPSGVENT,RPSG VENTURES LIMITED,EQ,25-JAN-2019,10
RRKABEL,R R Kabel Limited,EQ,20-SEP-2023,5
RSWM,RSWM Limited,EQ,15-FEB-1995,10
RSYSTEMS,R Systems International Limited,EQ,26-APR-2006,1
RTNINDIA,RattanIndia Enterprises Limited,EQ,30-JUL-2012,2
RUBYMILLS,The Ruby Mills Limited,EQ,29-MAR-1995,5
RUCHIRA,Ruchira Papers Limited,EQ,20-DEC-2006,10
RUPA,Rupa & Company Limited,EQ,07-DEC-2011,1
RUSHIL,Rushil Decor Limited,EQ,07-JUL-2011,1
RUSTOMJEE,Keystone Realtors Limited,EQ,24-NOV-2022,10
RVNL,Rail Vikas Nigam Limited,EQ,11-APR-2019,10
SADHNANIQ,Sadhana Nitrochem Limited,EQ,05-MAY-2023,1
SAFARI,Safari Industries (India) Limited,EQ,12-SEP-2019,2
SAGCEM,Sagar Cements Limited,EQ,29-JAN-2007,2
SAH,Sah Polymers Limited,EQ,12-JAN-2023,10
SAHYADRI,Sahyadri Industries Limited,EQ,06-APR-2023,10
SAIL,Steel Authority of India Limited,EQ,06-JUL-1995,10
SAKAR,Sakar Healthcare Limited,EQ,11-APR-2019,10
SAKHTISUG,Sakthi Sugars Limited,EQ,06-SEP-1995,10
SALASAR,Salasar Techno Engineering Limited,EQ,25-JUL-2017,1
SALONA,Salona Cotspin Limited,EQ,16-JUN-2016,10
SALZERELEC,Salzer Electronics Limited,EQ,02-DEC-2015,10
SAMHI,Samhi Hotels Limited,EQ,22-SEP-2023,1
SAMMAANCAP,Sammaan Capital Limited,EQ,23-JUL-2013,2
SANDESH,The Sandesh Limited,EQ,26-NOV-2002,10
SANDHAR,Sandhar Technologies Limited,EQ,02-APR-2018,10
SANDUMA,Sandur Manganese & Iron Ores Limited,EQ,07-SEP-2023,10
SANGAMIND,Sangam (India) Limited,EQ,17-JUL-1996,10
SANGHVIMOV,Sanghvi Movers Limited,EQ,24-JAN-2007,2
SANOFI,Sanofi India Limited,EQ,19-MAY-2003,10
SANSERA,Sansera Engineering Limited,EQ,24-SEP-2021,2
SAPPHIRE,Sapphire Foods India Limited,EQ,18-NOV-2021,2
SARDAEN,Sarda Energy & Minerals Limited,EQ,03-DEC-2009,1
SAREGAMA,Saregama India Limited,EQ,30-JUL-1997,1
SASKEN,Sasken Technologies Limited,EQ,09-SEP-2005,10
SASTASUNDR,Sastasundar Ventures Limited,EQ,05-OCT-2010,10
SATIA,Satia Industries Limited,EQ,17-JUL-2019,1
SATIN,Satin Creditcare Network Limited,EQ,26-AUG-2015,10
SATINDLTD,Sat Industries Limited,EQ,21-NOV-2022,2
SBCL,Shivalik Bimetal Controls Limited,EQ,24-JUN-2021,2
SBFC,SBFC Finance Limited,EQ,16-AUG-2023,10
SBGLP,Suratwwala Business Group Limited,EQ,10-FEB-2023,1
SBICARD,SBI Cards and Payment Services Limited,EQ,16-MAR-2020,10
SBILIFE,SBI Life Insurance Company Limited,EQ,03-OCT-2017,10
SBIN,State Bank of India,EQ,01-MAR-1995,1
SCHAEFFLER,Schaeffler India Limited,EQ,29-NOV-2000,2
SCHAND,S Chand And Company Limited,EQ,09-MAY-2017,5
SCI,Shipping Corporation Of India Limited,EQ,13-AUG-1997,10
SDBL,Som Distilleries & Breweries Limited,EQ,18-MAR-2014,2
SELAN,Selan Exploration Technology Limited,EQ,26-SEP-2006,10
SENCO,Senco Gold Limited,EQ,14-JUL-2023,10
SEPC,SEPC Limited,EQ,20-FEB-2008,10
SEQUENT,Sequent Scientific Limited,EQ,10-MAR-2016,2
SESHAPAPER,Seshasayee Paper and Boards Limited,EQ,29-MAR-1995,2
SFL,Sheela Foam Limited,EQ,09-DEC-2016,5
SHAILY,Shaily Engineering Plastics Limited,EQ,04-APR-2022,2
SHALBY,Shalby Limited,EQ,15-DEC-2017,10
SHALPAINTS,Shalimar Paints Limited,EQ,03-MAR-2008,2
SHANKARA,Shankara Building Products Limited,EQ,05-APR-2017,10
SHANTIGEAR,Shanthi Gears Limited,EQ,17-JAN-1996,1
SHARDACROP,Sharda Cropchem Limited,EQ,23-SEP-2014,10
SHARDAMOTR,Sharda Motor Industries Limited,EQ,03-SEP-2015,2
SHAREINDIA,Share India Securities Limited,EQ,21-SEP-2020,2
SHILPAMED,Shilpa Medicare Limited,EQ,03-DEC-2009,1
SHIVALIK,Shivalik Rasayan Limited,EQ,09-DEC-2021,5
SHIVAMILLS,Shiva Mills Limited,EQ,26-FEB-2018,10
SHK,S H Kelkar and Company Limited,EQ,16-NOV-2015,10
SHOPERSTOP,Shoppers Stop Limited,EQ,23-MAY-2005,5
SHREDIGCEM,Shree Digvijay Cement Co.Ltd,EQ,28-JAN-2020,10
SHREECEM,SHREE CEMENT LIMITED,EQ,26-APR-1995,10
SHREEPUSHK,Shree Pushkar Chemicals & Fertilisers Limited,BE,10-SEP-2015,10
SHREYAS,Shreyas Shipping & Logistics Limited,EQ,01-MAR-1995,10
SHRIRAMFIN,Shriram Finance Limited,EQ,11-DEC-1996,10
SHRIRAMPPS,Shriram Properties Limited,EQ,20-DEC-2021,10
SHYAMMETL,Shyam Metalics and Energy Limited,EQ,24-JUN-2021,10
SIEMENS,Siemens Limited,EQ,06-SEP-1995,2
SIGACHI,Sigachi Industries Limited,EQ,15-NOV-2021,1
SIGMA,Sigma Solve Limited,EQ,09-JUN-2023,10
SILINV,SIL Investments Limited,EQ,22-MAY-1996,10
SILVERTUC,Silver Touch Technologies Limited,EQ,12-MAY-2022,10
SINTERCOM,Sintercom India Limited,EQ,07-OCT-2020,10
SIRCA,Sirca Paints India Limited,EQ,22-JUL-2019,10
SIS,SIS LIMITED,EQ,10-AUG-2017,5
SIYSIL,Siyaram Silk Mills Limited,EQ,29-JAN-2007,2
SJS,S.J.S. Enterprises Limited,EQ,15-NOV-2021,10
SJVN,SJVN Limited,EQ,20-MAY-2010,10
SKFINDIA,SKF India Limited,EQ,27-JAN-1999,10
SKIPPER,Skipper Limited,EQ,27-MAY-2015,1
SKMEGGPROD,SKM Egg Products Export (India) Limited,EQ,14-MAR-1997,10
SMCGLOBAL,SMC Global Securities Limited,EQ,24-FEB-2021,2
SMLISUZU,SML Isuzu Limited,EQ,29-AUG-2003,10
SMSPHARMA,SMS Pharmaceuticals Limited,EQ,28-FEB-2007,1
SNOWMAN,Snowman Logistics Limited,EQ,12-SEP-2014,10
SOBHA,Sobha Limited,EQ,20-DEC-2006,10
SOLARINDS,Solar Industries India Limited,EQ,03-APR-2006,2
SOMANYCERA,Somany Ceramics Limited,EQ,22-NOV-1995,2
SONACOMS,Sona BLW Precision Forgings Limited,EQ,24-JUN-2021,10
SONATSOFTW,Sonata Software Limited,EQ,28-JUL-1999,1
SOTL,Savita Oil Technologies Limited,EQ,28-JUN-1995,2
SOUTHBANK,The South Indian Bank Limited,EQ,08-DEC-1998,1
SPAL,S. P. Apparels Limited,EQ,12-AUG-2016,10
SPANDANA,Spandana Sphoorty Financial Limited,EQ,19-AUG-2019,10
SPCENET,Spacenet Enterprises India Limited,EQ,10-JAN-2017,1
SPECIALITY,Speciality Restaurants Limited,EQ,30-MAY-2012,10
SPENCERS,Spencer's Retail Limited,EQ,25-JAN-2019,5
SPIC,Southern Petrochemicals Industries Corporation  Limited,EQ,10-JAN-1996,10
SPLIL,SPL Industries Limited,EQ,26-JUL-2005,10
SPLPETRO,Supreme Petrochem Limited,EQ,24-MAY-2022,2
SPORTKING,Sportking India Limited,EQ,24-AUG-2022,10
SREEL,Sreeleathers Limited,EQ,01-JAN-2014,10
SRF,SRF Limited,EQ,18-AUG-2003,10
SRGHFL,SRG Housing Finance Limited,EQ,21-AUG-2023,10
SRHHYPOLTD,Sree Rayalaseema Hi-Strength Hypo Limited,EQ,08-MAY-2007,10
SSWL,Steel Strips Wheels Limited,EQ,06-JUN-2005,1
STAR,Strides Pharma Science Limited,EQ,02-FEB-2000,10
STARCEMENT,Star Cement Limited,EQ,16-JUN-2017,1
STARHEALTH,Star Health and Allied Insurance Company Limited,EQ,10-DEC-2021,10
STARPAPER,Star Paper Mills Limited,EQ,13-SEP-1995,10
STCINDIA,The State Trading Corporation of India Limited,EQ,01-APR-2003,10
STEELCAS,Steelcast Limited,EQ,23-NOV-2021,5
STEELCITY,Steel City Securities Limited,EQ,27-JUN-2019,10
STEELXIND,STEEL EXCHANGE INDIA LIMITED,EQ,20-JUL-2017,1
STERTOOLS,Sterling Tools Limited,EQ,02-FEB-2006,2
STLTECH,Sterlite Technologies Limited,EQ,08-DEC-2000,2
STOVEKRAFT,Stove Kraft Limited,EQ,05-FEB-2021,10
STYLAMIND,Stylam Industries Limited,EQ,02-AUG-2021,5
STYRENIX,Styrenix Performance Materials Limited,EQ,29-MAR-1995,10
SUBEXLTD,Subex Limited,EQ,05-NOV-2020,5
SUBROS,Subros Limited,EQ,13-JUL-2005,2
SUDARSCHEM,Sudarshan Chemical Industries Limited,EQ,25-MAY-1995,2
SUKHJITS,Sukhjit Starch & Chemicals Limited,EQ,07-NOV-2022,10
SULA,Sula Vineyards Limited,EQ,22-DEC-2022,2
SUMICHEM,Sumitomo Chemical India Limited,EQ,27-JAN-2020,10
SUMMITSEC,Summit Securities Limited,EQ,28-JAN-2011,10
SUNDARMFIN,Sundaram Finance Limited,EQ,07-JAN-1998,10
SUNDARMHLD,Sundaram Finance Holdings Limited,EQ,26-MAR-2018,5
SUNDRMFAST,Sundram Fasteners Limited,EQ,07-JUN-2000,1
SUNFLAG,Sunflag Iron And Steel Company Limited,EQ,29-SEP-2005,10
SUNPHARMA,Sun Pharmaceutical Industries Limited,EQ,08-FEB-1995,1
SUNTECK,Sunteck Realty Limited,EQ,13-NOV-2009,1
SUNTV,Sun TV Network Limited,EQ,24-APR-2006,5
SUPERHOUSE,Superhouse Limited,EQ,26-SEP-2014,10
SUPRAJIT,Suprajit Engineering Limited,EQ,18-FEB-2005,1
SUPREMEIND,Supreme Industries Limited,EQ,19-JUL-1995,2
SUPRIYA,Supriya Lifescience Limited,EQ,28-DEC-2021,2
SURYALAXMI,Suryalakshmi Cotton Mills Limited,EQ,15-JUN-2005,10
SURYAROSNI,Surya Roshni Limited,EQ,10-MAY-1995,5
SURYODAY,Suryoday Small Finance Bank Limited,EQ,26-MAR-2021,10
SUTLEJTEX,Sutlej Textiles and Industries Limited,EQ,14-DEC-2006,1
SUVENPHAR,Suven Pharmaceuticals Limited,EQ,09-MAR-2020,1
SWANENERGY,Swan Energy Limited,EQ,29-MAY-2012,1
SWARAJENG,Swaraj Engines Limited,EQ,06-DEC-1995,10
SWELECTES,Swelect Energy Systems Limited,EQ,09-MAY-2006,10
SYMPHONY,Symphony Limited,EQ,15-JUN-2011,2
SYNGENE,Syngene International Limited,EQ,11-AUG-2015,10
SYRMA,Syrma SGS Technology Limited,EQ,26-AUG-2022,10
TAJGVK,Taj GVK Hotels & Resorts Limited,EQ,20-DEC-2000,2
TANLA,Tanla Platforms Limited,EQ,05-JAN-2007,1
TARSONS,Tarsons Products Limited,EQ,26-NOV-2021,2
TASTYBITE,Tasty Bite Eatables Limited,EQ,23-MAR-2017,10
TATACHEM,Tata Chemicals Limited,EQ,01-APR-1999,10
TATACOMM,Tata Communications Limited,EQ,12-APR-1995,10
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,EQ,18-NOV-1998,1
TATAELXSI,Tata Elxsi Limited,EQ,17-SEP-2003,10
TATAMOTORS,Tata Motors Limited,EQ,22-JUL-1998,2
TATAPOWER,Tata Power Company Limited,EQ,03-APR-1996,1
TATASTEEL,Tata Steel Limited,EQ,18-NOV-1998,1
TATVA,Tatva Chintan Pharma Chem Limited,EQ,29-JUL-2021,10
TBZ,Tribhovandas Bhimji Zaveri Limited,EQ,09-MAY-2012,10
TCI,Transport Corporation of India Limited,EQ,21-JAN-2002,2
TCIEXP,TCI Express Limited,EQ,15-DEC-2016,2
TCPLPACK,TCPL Packaging Limited,EQ,17-OCT-2017,10
TCS,Tata Consultancy Services Limited,EQ,25-AUG-2004,1
TDPOWERSYS,TD Power Systems Limited,EQ,08-SEP-2011,2
TEAMLEASE,Teamlease Services Limited,EQ,12-FEB-2016,10
TECHM,Tech Mahindra Limited,EQ,28-AUG-2006,5
TEGA,Tega Industries Limited,EQ,13-DEC-2021,10
TEJASNET,Tejas Networks Limited,EQ,27-JUN-2017,10
TEMBO,Tembo Global Industries Limited,BE,23-APR-2021,10
TEXINFRA,Texmaco Infrastructure & Holdings Limited,EQ,09-SEP-2004,1
TEXRAIL,Texmaco Rail & Engineering Limited,EQ,03-MAR-2011,1
TFCILTD,Tourism Finance Corporation of India Limited,EQ,26-JUL-2000,10
THANGAMAYL,Thangamayil Jewellery Limited,EQ,19-FEB-2010,10
THEMISMED,Themis Medicare Limited,EQ,02-APR-2007,1
THERMAX,Thermax Limited,EQ,30-AUG-1995,2
THYROCARE,Thyrocare Technologies Limited,EQ,09-MAY-2016,10
TI,Tilaknagar Industries Limited,EQ,16-JUL-2010,10
TIDEWATER,Tide Water Oil Company (India) Limited,EQ,16-JAN-2007,2
TIIL,Technocraft Industries (India) Limited,EQ,12-FEB-2007,10
TIINDIA,Tube Investments of India Limited,EQ,02-NOV-2017,1
TIMETECHNO,Time Technoplast Limited,EQ,13-JUN-2007,1
TIMKEN,Timken India Limited,EQ,06-FEB-2007,10
TIPSINDLTD,TIPS Industries Limited,EQ,10-NOV-2000,1
TIRUMALCHM,Thirumalai Chemicals Limited,EQ,14-MAY-2003,1
TITAGARH,TITAGARH RAIL SYSTEMS LIMITED,EQ,21-APR-2008,2
TITAN,Titan Company Limited,EQ,24-SEP-2004,1
TMB,Tamilnad Mercantile Bank Limited,EQ,15-SEP-2022,10
TNPETRO,Tamilnadu PetroProducts Limited,EQ,27-OCT-1999,10
TNPL,Tamil Nadu Newsprint & Papers Limited,EQ,14-FEB-1996,10
TOKYOPLAST,Tokyo Plast International Limited,BE,11-OCT-1995,10
TORNTPHARM,Torrent Pharmaceuticals Limited,EQ,25-NOV-2002,5
TORNTPOWER,Torrent Power Limited,EQ,28-NOV-2006,10
TRACXN,Tracxn Technologies Limited,EQ,20-OCT-2022,1
TREL,Transindia Real Estate Limited,EQ,10-AUG-2023,2
TRENT,Trent Limited,EQ,07-JUN-2004,1
TRIDENT,Trident Limited,EQ,21-FEB-2001,1
TRITURBINE,Triveni Turbine Limited,EQ,28-OCT-2011,1
TRIVENI,Triveni Engineering & Industries Limited,EQ,13-DEC-2005,1
TRU,TruCap Finance Limited,EQ,20-JUN-2023,2
TTKHLTCARE,TTK Healthcare Limited,EQ,02-DEC-2015,10
TTKPRESTIG,TTK Prestige Limited,EQ,22-DEC-1999,1
TTL,T T Limited,EQ,22-FEB-2007,10
TTML,Tata Teleservices (Maharashtra) Limited,EQ,20-OCT-2000,10
TVSELECT,TVS Electronics Limited,BE,26-DEC-2003,10
TVSHLTD,TVS Holdings Limited,EQ,23-OCT-2012,5
TVSMOTOR,TVS Motor Company Limited,EQ,02-AUG-2000,1
TVSSCS,TVS Supply Chain Solutions Limited,EQ,23-AUG-2023,1
TVSSRICHAK,TVS Srichakra Limited,EQ,13-FEB-2007,10
TVTODAY,TV Today Network Limited,EQ,16-JAN-2004,5
UBL,United Breweries Limited,EQ,28-JUL-2008,1
UCOBANK,UCO Bank,EQ,09-OCT-2003,10
UFLEX,UFLEX Limited,EQ,23-AUG-1995,10
UGARSUGAR,The Ugar Sugar Works Limited,EQ,23-AUG-2010,1
UGROCAP,Ugro Capital Limited,EQ,11-AUG-2021,10
UJJIVANSFB,Ujjivan Small Finance Bank Limited,EQ,12-DEC-2019,10
ULTRACEMCO,UltraTech Cement Limited,EQ,24-AUG-2004,10
UNICHEMLAB,Unichem Laboratories Limited,EQ,07-FEB-2001,2
UNIDT,United Drilling Tools Limited,EQ,25-SEP-2020,10
UNIENTER,Uniphos Enterprises Limited,EQ,23-JAN-2004,2
UNIONBANK,Union Bank of India,EQ,24-SEP-2002,10
UNIPARTS,Uniparts India Limited,EQ,12-DEC-2022,10
UNITDSPR,United Spirits Limited,EQ,27-SEP-2001,2
UNITEDTEA,The United Nilgiri Tea Estates Company Limited,EQ,28-JAN-2015,10
UNIVCABLES,Universal Cables Limited,EQ,17-MAY-1995,10
UNIVPHOTO,Universus Photo Imagings Limited,EQ,14-FEB-2020,10
UNOMINDA,UNO Minda Limited,EQ,02-FEB-2007,2
UPL,UPL Limited,EQ,23-JAN-2004,2
USHAMART,Usha Martin Limited,EQ,11-OCT-2000,1
UTIAMC,UTI Asset Management Company Limited,EQ,12-OCT-2020,10
UTKARSHBNK,Utkarsh Small Finance Bank Limited,EQ,21-JUL-2023,10
UTTAMSUGAR,Uttam Sugar Mills Limited,EQ,10-APR-2006,10
VADILALIND,Vadilal Industries Limited,EQ,15-JUN-2011,10
VAIBHAVGBL,Vaibhav Global Limited,EQ,05-APR-2004,2
VAISHALI,Vaishali Pharma Limited,EQ,15-JAN-2020,10
VAKRANGEE,Vakrangee Limited,EQ,03-APR-2006,1
VALIANTORG,Valiant Organics Limited,EQ,23-JUL-2021,10
VARDHACRLC,Vardhman Acrylics Limited,EQ,30-SEP-2003,10
VARROC,Varroc Engineering Limited,EQ,06-JUL-2018,1
VASCONEQ,Vascon Engineers Limited,EQ,15-FEB-2010,10
VBL,Varun Beverages Limited,EQ,08-NOV-2016,5
VEDL,Vedanta Limited,EQ,13-MAY-1998,1
VENKEYS,Venky's (India) Limited,EQ,28-JUL-2003,10
VENUSPIPES,Venus Pipes & Tubes Limited,EQ,24-MAY-2022,10
VESUVIUS,Vesuvius India Limited,EQ,04-OCT-2002,10
VETO,Veto Switchgears And Cables Limited,BE,29-APR-2015,10
VGUARD,V-Guard Industries Limited,EQ,13-MAR-2008,1
VHL,Vardhman Holdings Limited,EQ,30-JUN-2005,10
VIDHIING,Vidhi Specialty Food Ingredients Limited,EQ,02-MAR-2016,1
VIJAYA,Vijaya Diagnostic Centre Limited,EQ,14-SEP-2021,1
VIMTALABS,Vimta Labs Limited,EQ,15-DEC-2005,2
VINATIORGA,Vinati Organics Limited,EQ,28-JUL-2009,1
VINDHYATEL,Vindhya Telelinks Limited,EQ,08-FEB-1995,10
VINYLINDIA,Vinyl Chemicals (India) Limited,EQ,21-JUL-2008,1
VIPIND,VIP Industries Limited,EQ,02-MAR-2005,2
VISAKAIND,Visaka Industries Limited,EQ,28-AUG-1996,2
VISHNU,Vishnu Chemicals Limited,EQ,05-MAR-2015,2
