Symbol,Name of company,Series,Date of listing,Face value
BHAGCHEM,Bhagiradha Chemicals & Industries Limited,EQ,18-OCT-2021,1
BHAGERIA,Bhageria Industries Limited,EQ,02-MAR-2016,5
BHARATFORG,Bharat Forge Limited,EQ,04-APR-2003,2
BHARATGEAR,Bharat Gears Limited,EQ,03-APR-1996,10
BHARATRAS,Bharat Rasayan Limited,EQ,11-OCT-1995,10
BHARTIARTL,Bharti Airtel Limited,EQ,15-FEB-2002,5
BHEL,Bharat Heavy Electricals Limited,EQ,11-NOV-2003,2
BIGBLOC,Bigbloc Construction Limited,EQ,02-SEP-2016,2
BIKAJI,Bikaji Foods International Limited,EQ,16-NOV-2022,1
BIOCON,Biocon Limited,EQ,07-APR-2004,5
BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,EQ,12-JUN-1996,10
BIRLACABLE,Birla Cable Limited,EQ,06-DEC-1995,10
BIRLACORPN,Birla Corporation Limited,EQ,12-APR-1995,10
BLAL,BEML Land Assets Limited,EQ,19-APR-2023,10
BLISSGVS,Bliss GVS Pharma Limited,EQ,26-JUL-2010,1
BLKASHYAP,B. L. Kashyap and Sons Limited,EQ,17-MAR-2006,1
BLS,BLS International Services Limited,EQ,14-JUN-2016,1
BLUEDART,Blue Dart Express Limited,EQ,12-DEC-2002,10
BLUESTARCO,Blue Star Limited,EQ,15-JUN-2000,2
BODALCHEM,Bodal Chemicals Limited,EQ,22-AUG-2011,2
BOMDYEING,Bombay Dyeing & Mfg Company Limited,EQ,26-APR-1995,2
BOROLTD,Borosil Limited,EQ,22-JUL-2020,1
BORORENEW,BOROSIL RENEWABLES LIMITED,EQ,25-MAY-2018,1
BOSCHLTD,Bosch Limited,EQ,12-MAY-2003,10
BPCL,Bharat Petroleum Corporation Limited,EQ,13-SEP-1995,10
BRIGADE,Brigade Enterprises Limited,EQ,31-DEC-2007,10
BRITANNIA,Britannia Industries Limited,EQ,05-NOV-1998,1
BSE,BSE Limited,EQ,03-FEB-2017,2
BSOFT,BIRLASOFT LIMITED,EQ,24-NOV-1999,2
BUTTERFLY,Butterfly Gandhimathi Appliances Limited,EQ,28-APR-2014,10
CAMLINFINE,Camlin Fine Sciences Limited,EQ,20-JAN-2015,1
CAMPUS,Campus Activewear Limited,EQ,09-MAY-2022,5
CAMS,Computer Age Management Services Limited,EQ,07-MAY-2021,10
CANBK,Canara Bank,EQ,23-DEC-2002,2
CANFINHOME,Can Fin Homes Limited,EQ,10-MAY-1995,2
CANTABIL,Cantabil Retail India Limited,EQ,12-OCT-2010,2
CAPACITE,Capacit'e Infraprojects Limited,EQ,25-SEP-2017,10
CAPLIPOINT,Caplin Point Laboratories Limited,EQ,23-JUN-2014,2
CAPTRUST,Capital Trust Limited,EQ,16-JAN-2017,10
CARBORUNIV,Carborundum Universal Limited,EQ,03-APR-1996,1
CARERATING,CARE Ratings Limited,EQ,26-DEC-2012,10
CARTRADE,Cartrade Tech Limited,EQ,20-AUG-2021,10
CARYSIL,CARYSIL LIMITED,EQ,14-JAN-2021,2
CASTROLIND,Castrol India Limited,EQ,14-MAR-2014,5
CCL,CCL Products (India) Limited,EQ,07-JUN-2004,2
CDSL,Central Depository Services (India) Limited,EQ,30-JUN-2017,10
CEATLTD,CEAT Limited,EQ,01-FEB-2008,10
CENTENKA,Century Enka Limited,EQ,10-MAY-1995,10
CENTRALBK,Central Bank of India,EQ,21-AUG-2007,10
CENTRUM,Centrum Capital Limited,EQ,04-APR-2018,1
CENTURYPLY,Century Plyboards (India) Limited,EQ,23-MAR-2006,1
CENTURYTEX,Century Textiles & Industries Limited,EQ,27-JUN-2003,10
CERA,Cera Sanitaryware Limited,EQ,02-NOV-2007,5
CESC,CESC Limited,EQ,08-FEB-1995,1
CGCL,Capri Global Capital Limited,EQ,29-OCT-2010,1
CGPOWER,CG Power and Industrial Solutions Limited,EQ,01-MAR-1995,2
CHALET,Chalet Hotels Limited,EQ,07-FEB-2019,10
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,EQ,14-JUN-1995,10
CHEMBOND,Chembond Chemicals Ltd,EQ,20-NOV-2019,5
CHEMCON,Chemcon Speciality Chemicals Limited,EQ,01-OCT-2020,10
CHEMFAB,Chemfab Alkalis Limited,EQ,25-APR-2018,10
CHEMPLASTS,Chemplast Sanmar Limited,EQ,24-AUG-2021,5
CHENNPETRO,Chennai Petroleum Corporation Limited,EQ,07-JUN-2000,10
CHEVIOT,Cheviot Company Limited,EQ,20-JUN-2022,10
CHOICEIN,Choice International Limited,EQ,08-APR-2022,10
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,EQ,15-MAY-1996,2
CHOLAHLDNG,Cholamandalam Financial Holdings Limited,EQ,25-SEP-2017,1
CIEINDIA,CIE Automotive India Limited,EQ,30-AUG-2007,10
CIGNITITEC,Cigniti Technologies Limited,EQ,13-OCT-2014,10
CIPLA,Cipla Limited,EQ,08-FEB-1995,2
CLEAN,Clean Science and Technology Limited,EQ,19-JUL-2021,1
CLEDUCATE,CL Educate Limited,EQ,31-MAR-2017,5
CLSEL,Chaman Lal Setia Exports Limited,EQ,12-MAY-2021,2
CMSINFO,CMS Info Systems Limited,EQ,31-DEC-2021,10
COALINDIA,Coal India Limited,EQ,04-NOV-2010,10
COASTCORP,Coastal Corporation Limited,EQ,08-OCT-2021,10
COCHINSHIP,Cochin Shipyard Limited,EQ,11-AUG-2017,5
COFORGE,Coforge Limited,EQ,30-AUG-2004,10
COLPAL,Colgate Palmolive (India) Limited,EQ,17-DEC-2007,1
CONCOR,Container Corporation of India Limited,EQ,07-MAY-1997,5
CONCORDBIO,Concord Biotech Limited,EQ,18-AUG-2023,1
CONFIPET,Confidence Petroleum India Limited,EQ,13-JUN-2019,1
CONTROLPR,Control Print Limited,EQ,24-JUN-2016,10
COROMANDEL,Coromandel International Limited,EQ,31-MAY-1995,1
COSMOFIRST,COSMO FIRST LIMITED,EQ,25-MAY-1995,10
CRAFTSMAN,Craftsman Automation Limited,EQ,25-MAR-2021,5
CREATIVE,Creative Newtech Limited,EQ,05-AUG-2019,10
CREDITACC,CREDITACCESS GRAMEEN LIMITED,EQ,23-AUG-2018,10
CREST,Crest Ventures Limited,EQ,27-DEC-2006,10
CRISIL,CRISIL Limited,EQ,28-JUN-1995,1
CROMPTON,Crompton Greaves Consumer Electricals Limited,EQ,13-MAY-2016,2
CSBBANK,CSB Bank Limited,EQ,04-DEC-2019,10
CSLFINANCE,CSL Finance Limited,EQ,21-JUL-2022,10
CUB,City Union Bank Limited,EQ,25-AUG-1998,1
CUMMINSIND,Cummins India Limited,EQ,29-MAR-1995,2
CYIENT,Cyient Limited,EQ,30-SEP-1998,5
CYIENTDLM,Cyient DLM Limited,EQ,10-JUL-2023,10
DABUR,Dabur India Limited,EQ,28-APR-1999,1
DALBHARAT,Dalmia Bharat Limited,EQ,22-JAN-2019,2
DALMIASUG,Dalmia Bharat Sugar and Industries Limited,EQ,17-JAN-1996,2
DAMODARIND,Damodar Industries Limited,EQ,04-JUL-2016,5
DATAMATICS,Datamatics Global Services Limited,EQ,07-MAY-2004,5
DATAPATTNS,Data Patterns (India) Limited,EQ,24-DEC-2021,2
DBL,Dilip Buildcon Limited,EQ,11-AUG-2016,10
DBOL,Dhampur Bio Organics Limited,EQ,08-SEP-2022,10
DBREALTY,Valor Estate Limited,EQ,24-FEB-2010,10
DCAL,Dishman Carbogen Amcis Limited,EQ,21-SEP-2017,2
