Trade_Date,Exchange,Sett Type,Scrip_Name,Order_Type,Qty,Mkt_Price,Mkt Value,Squp/Del,Brok_Amt,Net Amt,Product,Aggregated_Taxes
11-Nov-22,NSE,N,KIRLOSKAR BROTHERS LTD,B,10,356.75,3567.5,D,26.76,-3603.32,Cash,9.06
11-Nov-22,NSE,N,KIRLOSKAR BROTHERS LTD,B,1,356.75,356.75,D,2.68,-360.33,Cash,0.8999999999999999
11-Nov-22,NSE,N,KIRLOSKAR BROTHERS LTD,B,27,356.75,9632.25,D,72.24,-9728.95,Cash,24.46
14-Nov-22,NSE,N,KIRLOSKAR BROTHERS LTD,S,128,398.4,50995.2,D,382.46,50490.79,Cash,121.96
14-Nov-22,NSE,N,KIRLOSKAR BROTHERS LTD,S,50,398.35,19917.5,D,149.38,19720.49,Cash,47.63
14-Nov-22,NSE,N,KIRLOSKAR BROTHERS LTD,S,1,398.3,398.3,D,2.99,394.36,Cash,0.9500000000000001
14-Nov-22,NSE,N,KIRLOSKAR BROTHERS LTD,S,291,398.3,115905.3,D,869.29,114758.76,Cash,277.25
14-Nov-22,NSE,N,KIRLOSKAR BROTHERS LTD,S,50,398.3,19915.0,D,149.36,19718.01,Cash,47.63
14-Nov-22,NSE,N,KIRLOSKAR BROTHERS LTD,S,124,398.3,49389.2,D,370.42,48900.66,Cash,118.12
14-Nov-22,NSE,N,KIRLOSKAR BROTHERS LTD,S,10,398.3,3983.0,D,29.87,3943.61,Cash,9.52
14-Nov-22,NSE,N,KIRLOSKAR BROTHERS LTD,S,17,398.3,6771.1,D,50.78,6704.13,Cash,16.189999999999998
14-Nov-22,NSE,N,KIRLOSKAR BROTHERS LTD,S,11,398.3,4381.3,D,32.86,4337.97,Cash,10.47
14-Nov-22,NSE,N,KIRLOSKAR BROTHERS LTD,S,99,398.3,39431.7,D,295.74,39041.65,Cash,94.31
14-Nov-22,NSE,N,KIRLOSKAR BROTHERS LTD,S,19,398.3,7567.7,D,56.76,7492.84,Cash,18.1
15-Nov-22,NSE,N,NMDC LTD.,B,500,109.55,54775.0,D,410.81,-55325.03,Cash,139.22
15-Nov-22,NSE,N,KIRLOSKAR BROTHERS LTD,B,16,395.65,6330.4,D,47.48,-6393.97,Cash,16.09
15-Nov-22,NSE,N,KIRLOSKAR BROTHERS LTD,B,10,395.7,3957.0,D,29.68,-3996.73,Cash,10.049999999999999
15-Nov-22,NSE,N,KIRLOSKAR BROTHERS LTD,B,2,395.7,791.4,D,5.94,-799.34,Cash,2.0
15-Nov-22,NSE,N,KIRLOSKAR BROTHERS LTD,B,10,395.75,3957.5,D,29.68,-3997.23,Cash,10.049999999999999
15-Nov-22,NSE,N,KIRLOSKAR BROTHERS LTD,B,3,395.8,1187.4,D,8.91,-1199.32,Cash,3.01
15-Nov-22,NSE,N,KIRLOSKAR BROTHERS LTD,B,4,395.8,1583.2,D,11.87,-1599.08,Cash,4.010000000000001
