Unnamed: 0,Symbol,Series,Open,High,Low,Close,PrevClose,TotalTradedQty,TotalTradedValue,TotalTrades,DeliverableQty,DeliveryPercentage,Date
479,COALINDIA,EQ,430.0,438.45,430.0,434.1,429.45,10332853,44897.29,113800,3885543,37.60,28-Mar-2024
480,COASTCORP,EQ,237.0,248.7,237.0,237.95,240.5,51331,124.52,2519,26826,52.26,28-Mar-2024
481,COCHINSHIP,EQ,883.4,891.1,866.25,871.8,872.45,905880,7950.39,30186,315642,34.84,28-Mar-2024
482,COFFEEDAY,EQ,49.65,51.05,49.45,49.65,49.4,3912455,1965.64,9289,1685715,43.09,28-Mar-2024
483,COFORGE,EQ,5569.0,5594.0,5485.0,5502.45,5549.25,262188,14499.2,29141,133593,50.95,28-Mar-2024
484,COLPAL,EQ,2678.0,2738.8,2630.15,2710.35,2658.8,780788,20939.43,60695,477420,61.15,28-Mar-2024
485,COMMITTED,SM,55.0,57.0,54.3,54.75,54.15,28800,16.0,18,25600,88.89,28-Mar-2024
486,COMMOIETF,EQ,82.96,84.0,82.96,83.79,82.86,24795,20.75,278,15849,63.92,28-Mar-2024
487,COMPINFO,BZ,4.2,4.4,4.2,4.2,4.4,165593,6.95,265,-,-,28-Mar-2024
488,COMPUSOFT,EQ,23.75,24.8,22.6,23.35,23.75,130541,31.33,943,89015,68.19,28-Mar-2024
489,COMSYN,EQ,63.25,65.9,62.0,63.05,63.15,26276,16.68,512,20912,79.59,28-Mar-2024
490,CONCOR,EQ,869.0,891.7,864.6,882.1,866.2,1661176,14649.4,53085,932128,56.11,28-Mar-2024
491,CONCORDBIO,EQ,1491.0,1559.75,1491.0,1520.8,1498.25,104658,1597.23,16767,42210,40.33,28-Mar-2024
492,CONFIPET,EQ,85.95,87.7,83.75,84.05,84.95,2675246,2285.66,11007,1203094,44.97,28-Mar-2024
493,CONS,EQ,101.0,102.5,100.05,102.17,100.05,8477,8.58,55,8371,98.75,28-Mar-2024
494,CONSOFINVT,EQ,226.0,226.0,221.4,222.25,222.85,18537,41.44,764,12713,68.58,28-Mar-2024
495,CONSUMBEES,EQ,110.99,111.69,110.0,111.16,109.89,62136,68.91,784,50651,81.52,28-Mar-2024
496,CONSUMIETF,EQ,103.01,104.98,101.78,103.39,102.25,14170,14.6,209,7386,52.12,28-Mar-2024
497,CONTROLPR,EQ,966.45,966.45,921.05,929.85,956.85,36171,338.57,3794,24469,67.65,28-Mar-2024
498,COOLCAPS,SM,455.0,455.0,445.0,445.0,440.35,500,2.25,2,500,100.00,28-Mar-2024
499,CORALFINAC,BE,39.4,39.4,36.9,37.0,38.85,128442,48.22,582,-,-,28-Mar-2024
500,CORDSCABLE,BE,175.45,177.95,170.0,173.1,169.5,55477,97.67,489,-,-,28-Mar-2024
501,COROMANDEL,EQ,1072.75,1085.0,1061.0,1075.05,1072.75,373298,4005.58,15583,232141,62.19,28-Mar-2024
502,COSMOFIRST,EQ,503.0,520.1,494.0,500.75,499.2,145390,732.79,7361,91768,63.12,28-Mar-2024
503,COUNCODOS,EQ,4.8,4.9,4.6,4.8,4.8,72558,3.41,213,50472,69.56,28-Mar-2024
504,CPS,SM,355.0,355.0,345.0,345.0,345.0,1800,6.3,3,1200,66.67,28-Mar-2024
505,CPSEETF,EQ,79.6,80.45,78.8,79.91,78.8,2528474,2018.01,9725,1949616,77.11,28-Mar-2024
506,CRAFTSMAN,EQ,4381.0,4447.0,4283.0,4314.9,4332.5,41032,1789.83,11140,19693,47.99,28-Mar-2024
507,CRAYONS,SM,166.3,169.9,159.5,164.75,166.3,42000,69.54,34,30000,71.43,28-Mar-2024
508,CREATIVE,EQ,704.9,717.75,700.0,712.55,699.55,4597,32.65,573,2452,53.34,28-Mar-2024
509,CREATIVEYE,BE,4.4,4.4,4.25,4.25,4.4,498,0.02,9,-,-,28-Mar-2024
510,CREDITACC,EQ,1415.0,1460.1,1400.45,1441.4,1422.55,318854,4558.26,20773,224339,70.36,28-Mar-2024
511,CREDITACC,N3,1008.97,1008.97,1000.0,1000.05,1008.95,80,0.8,4,80,100.00,28-Mar-2024
512,CREDITACC,N5,1020.0,1023.5,1010.0,1022.3,1005.0,530,5.41,15,488,92.08,28-Mar-2024
513,CREDITACC,N7,1000.95,1000.95,1000.95,1000.95,1000.97,14,0.14,1,14,100.00,28-Mar-2024
