CompanyName,PrevSymbol,NewSymbol,Date
Ganesh Housing Corporation Limited,GANHSGFIN,GANESHHOUC,02-03-2007
Garware Technical Fibres Limited,GARWALLROP,GARFIBRES,13-08-2018
GeeCee Ventures Limited,GWALCHEM,GEECEE,05-03-2010
Genus Power Infrastructures Limited,GENUSOVERE,GENUSPOWER,14-01-2008
Geodesic Limited,GEOINFO,GEODESIC,06-10-2008
Geojit Financial Services Limited,GEOJIT,GEOJITBNPP,05-06-2009
Geojit Financial Services Limited,GEOJITBNPP,GEOJITFSL,02-03-2017
Gillette India Limited,INDSHAVING,GILLETTE,04-04-2006
GlaxoSmithKline Consumer Healthcare Limited,SMITKLBECH,GSKCONS,29-07-2003
Global Offshore Services Limited,GARWOFFS,GLOBOFFS,07-06-2011
Glodyne Technoserve Limited,PARADYNE,GLODYNE,19-11-2007
Golden Tobacco Limited,GTCIND,GOLDENTOBC,29-09-2008
Goldkart Jewels Limited,SONAHISONA,GOLDKART,01-12-2023
Government of India,692MH2039,692GS2039,25-11-2024
Graphite India Limited,CARBEVFLOW,GRAPHITE,13-01-2003
Greaves Cotton Limited,GREAVES,GREAVESCOT,09-09-2004
Greenply Industries Limited,MITTALLAMI,GREENPLY,09-12-2004
Groww Mutual Fund - Groww Nifty EV & New Age Automotive ETF,GROWEV,GROWWEV,23-08-2024
Gujarat Apollo Industries Limited,GUJAPOLIND,GUJAPOLLO,06-07-2007
Gujarat Apollo Industries Limited,GUJAPOLEQP,GUJAPOLIND,04-06-2007
Gulf Oil Corporation Limited,IDLCHEM,GULFOILCOR,08-11-2007
HCL Infosystems Limited,HCL-HP,HCL-INSYS,12-04-2000
HDFC Mutual Fund-HDFC Gold Exchange Traded Fund,HDFCMFGETF,HDFCGOLD,16-06-2023
HDFC NIFTY 50 ETF,HDFCNIFETF,HDFCNIFTY,16-06-2023
HDFC NIFTY Bank ETF,HBANKETF,HDFCNIFBAN,16-06-2023
HDFC S&P BSE SENSEX ETF,HDFCSENETF,HDFCSENSEX,16-06-2023
HIL Limited,HYDRBADIND,HIL,26-10-2012
HLV LIMITED,HOTELEELA,HLVLTD,08-01-2020
HSBC InvestDirect (India) Limited,INVSTSMART,HINVDIR,07-09-2009
HSIL Limited,HINDSANIT,HSIL,27-04-2009
HSIL Limited,HSIL,AGI,11-05-2022
Heads UP Ventures Limited,TMRVL,HEADSUP,18-07-2022
HeidelbergCement India Limited,MYSORECEM,HEIDELBERG,15-05-2009
Hero MotoCorp Limited,HEROHONDA,HEROMOTOCO,08-08-2011
Heubach Colorants India Limited,CLNINDIA,HEUBACHIND,10-03-2023
Himadri Speciality Chemical Limited,HCIL,HSCL,16-08-2016
Himadri Speciality Chemical Limited,HIMADCHEM,HCIL,02-03-2007
Hindalco Industries Limited,HINDALC0,HINDALCO,27-08-2007
Hinduja Foundries Limited,ENNOREFO,HINDUJAFO,24-03-2008
Hinduja Global Solutions Limited,HGSL,HGS,30-11-2011
Hinduja Global Solutions Limited,HTMTGLOBAL,HGSL,23-01-2009
Hinduja TMT Limited,HINDUJAFIN,HTMT,13-01-2003
Hindustan Construction Company Limited,HINDCONS,HCC,10-07-2006
Hindustan Unilever Limited,HINDLEVER,HINDUNILVR,19-07-2007
Hindware Home Innovation Limited,SHIL,HINDWAREAP,21-06-2022
Hitech Corporation Limited,HITECHPLAS,HITECHCORP,23-05-2017
Honda India Power Products Limited,SHRMHONDA,HONDAPOWER,04-04-2006
Honeywell Automation India Limited,TATAHONEY,HONAUT,24-03-2005
Hubtown Limited,AKRUTI,ACKRUTI,30-06-2009
Hubtown Limited,ACKRUTI,HUBTOWN,15-11-2011
Huhtamaki India Limited,PAPERPROD,HUHTAMAKI,26-11-2020
ICICI PRUDENTIAL MUTUAL FUND - ICICI Prudential Nifty FMCG ETF,ICICIFMCG,FMCGIETF,20-12-2023
ICICI PRUDENTIAL MUTUAL FUND - ICICI Prudential Nifty Healthcare ETF,ICICIPHARM,HEALTHIETF,20-12-2023
ICICI PRUDENTIAL MUTUAL FUND - ICICI Prudential Nifty IT ETF,ICICITECH,ITIETF,20-12-2023
ICICI PRUDENTIAL MUTUAL FUND - ICICI Prudential Nifty Midcap 150 ETF,ICICIM150,MIDCAPIETF,20-12-2023
ICICI Pru Mutual Fund-ICICI Prudential Nifty 10 yr Benchmark G-Sec ETF,ICICI10GS,GSEC10IETF,20-12-2023
ICICI Prudential BSE 500 ETF,ICICI500,BSE500IETF,20-12-2023
ICICI Prudential BSE Liquid Rate ETF,ICICILIQ,LIQUIDIETF,20-12-2023
ICICI Prudential Bank ETF Nifty Bank Index,IPRU5008,ICICIBANKN,19-07-2019
ICICI Prudential Gold ETF,IGOLD,GOLDIWIN,25-07-2016
ICICI Prudential Gold ETF,GOLDIWIN,ICICIGOLD,10-04-2018
ICICI Prudential Gold ETF,IPGETF,IGOLD,05-05-2014
ICICI Prudential MF - ICICI Prudential IF S1 - DQDP,IPRU8112,IPRU8122,16-12-2013
ICICI Prudential MF - ICICI Prudential Nifty 200 Quality 30 ETF,ICICIQTY30,QUAL30IETF,20-12-2023
ICICI Prudential Midcap Select ETF,IMIDCAP,MIDCAPIWIN,25-07-2016
ICICI Prudential Midcap Select ETF,MIDCAPIWIN,ICICIMCAP,10-04-2018
ICICI Prudential Mutual Fund -  ICICI Pru Nifty 200 Momentum 30 ETF,ICICIMOM30,MOM30IETF,20-12-2023
ICICI Prudential Mutual Fund - BHARAT 22 ETF,BHARATIWIN,ICICIB22,19-04-2018
ICICI Prudential Mutual Fund - ICICI Pru Nifty Fin Ser Ex-Bank ETF,ICICIFIN,FINIETF,20-12-2023
ICICI Prudential Mutual Fund - ICICI Prudential  Nifty Auto ETF,ICICIAUTO,AUTOIETF,20-12-2023
ICICI Prudential Mutual Fund - ICICI Prudential Nifty Commodities ETF,ICICICOMMO,COMMOIETF,20-12-2023
ICICI Prudential Mutual Fund - ICICI Prudential Nifty Next 50 ETF,ICICINXT50,NEXT50IETF,20-12-2023
ICICI Prudential Mutual Fund - ICICI Prudential Nifty PSU Bank ETF,PSUBANKICI,PSUBNKIETF,20-12-2023
ICICI Prudential Mutual Fund - ICICI Prudential Silver ETF,ICICISILVE,SILVERIETF,20-12-2023
