,SYMBOL,Name of Company
217,BALKRISIND,Balkrishna Industries Limited
218,BALMLAWRIE,Balmer Lawrie & Company Limited
219,BALPHARMA,Bal Pharma Limited
220,BALRAMCHIN,Balrampur Chini Mills Limited
221,BALUFORGE,Balu Forge Industries Limited
222,BANARBEADS,Banaras Beads Limited
223,BANARISUG,Bannari Amman Sugars Limited
224,BANCOINDIA,Banco Products (I) Limited
225,BANDHANBNK,Bandhan Bank Limited
226,BANG,Bang Overseas Limited
227,BANKA,Banka BioLoo Limited
228,BANKBARODA,Bank of Baroda
229,BANKINDIA,Bank of India
230,BANSALWIRE,Bansal Wire Industries Limited
231,BANSWRAS,Banswara Syntex Limited
232,BARBEQUE,Barbeque Nation Hospitality Limited
233,BASF,BASF India Limited
234,BASML,Bannari Amman Spinning Mills Limited
235,BATAINDIA,Bata India Limited
236,BAYERCROP,Bayer Cropscience Limited
237,BBL,Bharat Bijlee Limited
238,BBOX,Black Box Limited
239,BBTC,Bombay Burmah Trading Corporation Limited
240,BBTCL,B&B Triplewall Containers Limited
241,BCLIND,Bcl Industries Limited
242,BCONCEPTS,Brand Concepts Limited
243,BDL,Bharat Dynamics Limited
244,BEARDSELL,Beardsell Limited
245,BECTORFOOD,Mrs. Bectors Food Specialities Limited
246,BEDMUTHA,Bedmutha Industries Limited
247,BEL,Bharat Electronics Limited
248,BEML,BEML Limited
249,BEPL,Bhansali Engineering Polymers Limited
250,BERGEPAINT,Berger Paints (I) Limited
251,BESTAGRO,Best Agrolife Limited
252,BFINVEST,BF Investment Limited
253,BFUTILITIE,BF Utilities Limited
254,BGRENERGY,BGR Energy Systems Limited
255,BHAGCHEM,Bhagiradha Chemicals & Industries Limited
256,BHAGERIA,Bhageria Industries Limited
257,BHAGYANGR,Bhagyanagar India Limited
258,BHANDARI,Bhandari Hosiery Exports Limited
259,BHARATFORG,Bharat Forge Limited
260,BHARATGEAR,Bharat Gears Limited
261,BHARATRAS,Bharat Rasayan Limited
262,BHARATWIRE,Bharat Wire Ropes Limited
263,BHARTIARTL,Bharti Airtel Limited
264,BHARTIHEXA,Bharti Hexacom Limited
265,BHEL,Bharat Heavy Electricals Limited
266,BIGBLOC,Bigbloc Construction Limited
267,BIKAJI,Bikaji Foods International Limited
268,BIL,Bhartiya International Limited
