,SYMBOL,Name of Company
1238,NINSYS,NINtec Systems Limited
1239,NIPPOBATRY,Indo-National Limited
1240,NIRAJ,Niraj Cement Structurals Limited
1241,NIRAJISPAT,Niraj Ispat Industries Limited
1242,NITCO,Nitco Limited
1243,NITINSPIN,Nitin Spinners Limited
1244,NITIRAJ,Nitiraj Engineers Limited
1245,NKIND,NK Industries Limited
1246,NLCINDIA,NLC India Limited
1247,NMDC,NMDC Limited
1248,NOCIL,NOCIL Limited
1249,NOIDATOLL,Noida Toll Bridge Company Limited
1250,NORBTEAEXP,Norben Tea & Exports Limited
1251,NORTHARC,Northern Arc Capital Limited
1252,NOVAAGRI,Nova Agritech Limited
1253,NRAIL,N R Agarwal Industries Limited
1254,NRBBEARING,NRB Bearing Limited
1255,NRL,Nupur Recyclers Limited
1256,NSIL,Nalwa Sons Investments Limited
1257,NSLNISP,NMDC Steel Limited
1258,NTPC,NTPC Limited
1259,NUCLEUS,Nucleus Software Exports Limited
1260,NURECA,Nureca Limited
1261,NUVAMA,Nuvama Wealth Management Limited
1262,NUVOCO,Nuvoco Vistas Corporation Limited
1263,NYKAA,FSN E-Commerce Ventures Limited
1264,OAL,Oriental Aromatics Limited
1265,OBCL,Orissa Bengal Carrier Limited
1266,OBEROIRLTY,Oberoi Realty Limited
1267,OCCL,Oriental Carbon & Chemicals Limited
1268,OFSS,Oracle Financial Services Software Limited
1269,OIL,Oil India Limited
1270,OILCOUNTUB,Oil Country Tubular Limited
1271,OLAELEC,Ola Electric Mobility Limited
1272,OLECTRA,Olectra Greentech Limited
1273,OMAXAUTO,Omax Autos Limited
1274,OMAXE,Omaxe Limited
1275,OMINFRAL,OM INFRA LIMITED
1276,OMKARCHEM,Omkar Speciality Chemicals Limited
1277,ONELIFECAP,Onelife Capital Advisors Limited
1278,ONEPOINT,One Point One Solutions Limited
1279,ONGC,Oil & Natural Gas Corporation Limited
1280,ONMOBILE,OnMobile Global Limited
1281,ONWARDTEC,Onward Technologies Limited
1282,OPTIEMUS,Optiemus Infracom Limited
1283,ORBTEXP,Orbit Exports Limited
1284,ORCHPHARMA,Orchid Pharma Limited
1285,ORICONENT,Oricon Enterprises Limited
1286,ORIENT-RE,ORIENTAL TRIMEX LTD-RE
1287,ORIENTALTL,Oriental Trimex Limited
1288,ORIENTBELL,Orient Bell Limited
1289,ORIENTCEM,Orient Cement Limited
1290,ORIENTCER,ORIENT CERATECH LIMITED
1291,ORIENTELEC,Orient Electric Limited
1292,ORIENTHOT,Oriental Hotels Limited
1293,ORIENTLTD,Orient Press Limited
1294,ORIENTPPR,Orient Paper & Industries Limited
1295,ORIENTTECH,Orient Technologies Limited
1296,ORISSAMINE,The Orissa Minerals Development Company Limited
1297,ORTINGLOBE,ORTIN GLOBAL LIMITED
1298,OSIAHYPER,Osia Hyper Retail Limited
1299,OSWALAGRO,Oswal Agro Mills Limited
1300,OSWALGREEN,Oswal Greentech Limited
1301,OSWALSEEDS,ShreeOswal Seeds And Chemicals Limited
1302,PAGEIND,Page Industries Limited
1303,PAISALO,Paisalo Digital Limited
1304,PAKKA,PAKKA LIMITED
1305,PALASHSECU,Palash Securities Limited
1306,PALREDTEC,Palred Technologies Limited
1307,PANACEABIO,Panacea Biotec Limited
1308,PANACHE,Panache Digilife Limited
1309,PANAMAPET,Panama Petrochem Limited
1310,PANSARI,Pansari Developers Limited
1311,PAR,Par Drugs And Chemicals Limited
1312,PARACABLES,Paramount Communications Limited
1313,PARADEEP,Paradeep Phosphates Limited
1314,PARAGMILK,Parag Milk Foods Limited
1315,PARAS,Paras Defence and Space Technologies Limited
1316,PARASPETRO,Paras Petrofils Limited
1317,PARKHOTELS,Apeejay Surrendra Park Hotels Limited
1318,PARSVNATH,Parsvnath Developers Limited
1319,PASUPTAC,Pasupati Acrylon Limited
1320,PATANJALI,Patanjali Foods Limited
1321,PATELENG,Patel Engineering Limited
1322,PATINT-RE2,Patel Integrated Log-RE2
1323,PATINTLOG,Patel Integrated Logistics Limited
1324,PAVNAIND,Pavna Industries Limited
1325,PAYTM,One 97 Communications Limited
1326,PCBL,PCBL LIMITED
1327,PCJEWELLER,PC Jeweller Limited
1328,PDMJEPAPER,Pudumjee Paper Products Limited
1329,PDSL,PDS Limited
1330,PEARLPOLY,Pearl Polymers Limited
1331,PEL,Piramal Enterprises Limited
1332,PENIND,Pennar Industries Limited
1333,PENINLAND,Peninsula Land Limited
1334,PERSISTENT,Persistent Systems Limited
1335,PETRONET,Petronet LNG Limited
1336,PFC,Power Finance Corporation Limited
1337,PFIZER,Pfizer Limited
1338,PFOCUS,Prime Focus Limited
1339,PFS,PTC India Financial Services Limited
1340,PGEL,PG Electroplast Limited
1341,PGHH,Procter & Gamble Hygiene and Health Care Limited
1342,PGHL,Procter & Gamble Health Limited
1343,PGIL,Pearl Global Industries Limited
1344,PHOENIXLTD,The Phoenix Mills Limited
1345,PIDILITIND,Pidilite Industries Limited
1346,PIGL,Power & Instrumentation (Gujarat) Limited
1347,PIIND,PI Industries Limited
1348,PILANIINVS,Pilani Investment and Industries Corporation Limited
1349,PILITA,PIL ITALICA LIFESTYLE LIMITED
1350,PIONEEREMB,Pioneer Embroideries Limited
1351,PITTIENG,Pitti Engineering Limited
1352,PIXTRANS,Pix Transmissions Limited
1353,PKTEA,The Peria Karamalai Tea & Produce Company Limited
1354,PLASTIBLEN,Plastiblends India Limited
1355,PLATIND,Platinum Industries Limited
1356,PLAZACABLE,Plaza Wires Limited
1357,PNB,Punjab National Bank
1358,PNBGILTS,PNB Gilts Limited
1359,PNBHOUSING,PNB Housing Finance Limited
1360,PNC,Pritish Nandy Communications Limited
1361,PNCINFRA,PNC Infratech Limited
1362,PNGJL,P N Gadgil Jewellers Limited
1363,POCL,Pondy Oxides & Chemicals Limited
1364,PODDARHOUS,Poddar Housing and Development Limited
1365,PODDARMENT,Poddar Pigments Limited
1366,POKARNA,Pokarna Limited
1367,POLICYBZR,PB Fintech Limited
1368,POLYCAB,Polycab India Limited
1369,POLYMED,Poly Medicure Limited
1370,POLYPLEX,Polyplex Corporation Limited
1371,PONNIERODE,Ponni Sugars (Erode) Limited
1372,POONAWALLA,Poonawalla Fincorp Limited
1373,POWERGRID,Power Grid Corporation of India Limited
1374,POWERINDIA,Hitachi Energy India Limited
1375,POWERMECH,Power Mech Projects Limited
1376,PPAP,PPAP Automotive Limited
1377,PPL,Prakash Pipes Limited
1378,PPLPHARMA,Piramal Pharma Limited
1379,PRAENG,Prajay Engineers Syndicate Limited
1380,PRAJIND,Praj Industries Limited
1381,PRAKASH,Prakash Industries Limited
1382,PRAKASHSTL,Prakash Steelage Limited
1383,PRAXIS,Praxis Home Retail Limited
1384,PRECAM,Precision Camshafts Limited
1385,PRECOT,Precot Limited
1386,PRECWIRE,Precision Wires India Limited
1387,PREMEXPLN,Premier Explosives Limited
1388,PREMIERENE,Premier Energies Limited
1389,PREMIERPOL,Premier Polyfilm Limited
1390,PRESTIGE,Prestige Estates Projects Limited
1391,PRICOLLTD,Pricol Limited
1392,PRIMESECU,Prime Securities Limited
1393,PRINCEPIPE,Prince Pipes And Fittings Limited
1394,PRITI,Priti International Limited
1395,PRITIKAUTO,Pritika Auto Industries Limited
1396,PRIVISCL,Privi Speciality Chemicals Limited
1397,PROZONER,Prozone Realty Limited
1398,PRSMJOHNSN,Prism Johnson Limited
1399,PRUDENT,Prudent Corporate Advisory Services Limited
1400,PRUDMOULI,Prudential Sugar Corporation Limited
1401,PSB,Punjab & Sind Bank
1402,PSPPROJECT,PSP Projects Limited
1403,PTC,PTC India Limited
1404,PTCIL,PTC Industries Limited
1405,PTL,PTL Enterprises Limited
1406,PUNJABCHEM,Punjab Chemicals & Crop Protection Limited
1407,PURVA,Puravankara Limited
1408,PVP,PVP Ventures Limited
1409,PVRINOX,PVR INOX Limited
1410,PVSL,Popular Vehicles and Services Limited
1411,PYRAMID,Pyramid Technoplast Limited
1412,QUESS,Quess Corp Limited
1413,QUICKHEAL,Quick Heal Technologies Limited
1414,RACE,Race Eco Chain Limited
1415,RADAAN,Radaan Mediaworks India Limited
1416,RADHIKAJWE,Radhika Jeweltech Limited
1417,RADIANTCMS,Radiant Cash Management Services Limited
1418,RADICO,Radico Khaitan Limited
1419,RADIOCITY,Music Broadcast Limited
1420,RAILTEL,Railtel Corporation Of India Limited
1421,RAIN,Rain Industries Limited
1422,RAINBOW,Rainbow Childrens Medicare Limited
1423,RAJESHEXPO,Rajesh Exports Limited
1424,RAJMET,Rajnandini Metal Limited
1425,RAJRATAN,Rajratan Global Wire Limited
1426,RAJRILTD,Raj Rayon Industries Limited
1427,RAJSREESUG,Rajshree Sugars & Chemicals Limited
1428,RAJTV,Raj Television Network Limited
1429,RALLIS,Rallis India Limited
1430,RAMANEWS,Shree Rama Newsprint Limited
1431,RAMAPHO,Rama Phosphates Limited
1432,RAMASTEEL,Rama Steel Tubes Limited
1433,RAMCOCEM,The Ramco Cements Limited
1434,RAMCOIND,Ramco Industries Limited
1435,RAMCOSYS,Ramco Systems Limited
1436,RAMKY,Ramky Infrastructure Limited
1437,RAMRAT,Ram Ratna Wires Limited
1438,RANASUG,Rana Sugars Limited
1439,RANEENGINE,Rane Engine Valve Limited
1440,RANEHOLDIN,Rane Holdings Limited
1441,RATEGAIN,Rategain Travel Technologies Limited
1442,RATNAMANI,Ratnamani Metals & Tubes Limited
1443,RATNAVEER,Ratnaveer Precision Engineering Limited
1444,RAYMOND,Raymond Limited
1445,RAYMONDLSL,Raymond Lifestyle Limited
1446,RBA,Restaurant Brands Asia Limited
1447,RBL,Rane Brake Lining Limited
1448,RBLBANK,RBL Bank Limited
1449,RBZJEWEL,RBZ Jewellers Limited
1450,RCF,Rashtriya Chemicals and Fertilizers Limited
1451,RECLTD,REC Limited
1452,REDINGTON,Redington Limited
1453,REDTAPE,Redtape Limited
1454,REFEX,Refex Industries Limited
1455,REGENCERAM,Regency Ceramics Limited
1456,RELAXO,Relaxo Footwears Limited
1457,RELCHEMQ,Reliance Chemotex Industries Limited
1458,RELIABLE,Reliable Data Services Limited
1459,RELIANCE,Reliance Industries Limited
1460,RELIGARE,Religare Enterprises Limited
1461,RELINFRA,Reliance Infrastructure Limited
1462,RELTD,Ravindra Energy Limited
1463,REMSONSIND,Remsons Industries Limited
1464,RENUKA,Shree Renuka Sugars Limited
1465,REPCOHOME,Repco Home Finance Limited
1466,REPL,Rudrabhishek Enterprises Limited
1467,REPRO,Repro India Limited
1468,RESPONIND,Responsive Industries Limited
1469,RETAIL,JHS Svendgaard Retail Ventures Limited
1470,REVATHIEQU,Revathi Equipment India Limited
1471,RGL,Renaissance Global Limited
1472,RHFL,Reliance Home Finance Limited
1473,RHIM,RHI MAGNESITA INDIA LIMITED
1474,RHL,Robust Hotels Limited
1475,RICOAUTO,Rico Auto Industries Limited
1476,RIIL,Reliance Industrial Infrastructure Limited
1477,RISHABH,Rishabh Instruments Limited
1478,RITCO,Ritco Logistics Limited
1479,RITES,RITES Limited
1480,RKDL,Ravi Kumar Distilleries Limited
1481,RKEC,RKEC Projects Limited
1482,RKFORGE,Ramkrishna Forgings Limited
1483,RKSWAMY,R K Swamy Limited
1484,RML,Rane (Madras) Limited
1485,ROHLTD,Royal Orchid Hotels Limited
1486,ROLEXRINGS,Rolex Rings Limited
1487,ROLLT,Rollatainers Limited
1488,ROML,Raj Oil Mills Limited
1489,ROSSARI,Rossari Biotech Limited
1490,ROSSELLIND,Rossell India Limited
1491,ROTO,Roto Pumps Limited
1492,ROUTE,ROUTE MOBILE LIMITED
1493,RPEL,Raghav Productivity Enhancers Limited
1494,RPGLIFE,RPG Life Sciences Limited
1495,RPOWER,Reliance Power Limited
1496,RPPINFRA,R.P.P. Infra Projects Limited
1497,RPPL,Rajshree Polypack Limited
1498,RPSGVENT,RPSG VENTURES LIMITED
1499,RPTECH,Rashi Peripherals Limited
1500,RRKABEL,R R Kabel Limited
1501,RSSOFTWARE,R. S. Software (India) Limited
1502,RSWM,RSWM Limited
1503,RSYSTEMS,R Systems International Limited
1504,RTNINDIA,RattanIndia Enterprises Limited
1505,RTNPOWER,RattanIndia Power Limited
1506,RUBFILA,Rubfila International Limited
1507,RUBYMILLS,The Ruby Mills Limited
1508,RUCHINFRA,Ruchi Infrastructure Limited
1509,RUCHIRA,Ruchira Papers Limited
1510,RUPA,Rupa & Company Limited
1511,RUSHIL,Rushil Decor Limited
1512,RUSTOMJEE,Keystone Realtors Limited
1513,RVHL,Ravinder Heights Limited
1514,RVNL,Rail Vikas Nigam Limited
1515,S&SPOWER,S&S Power Switchgears Limited
1516,SABEVENTS,Sab Events & Governance Now Media Limited
1517,SABTNL,Sri Adhikari Brothers Television Network Limited
1518,SADBHAV,Sadbhav Engineering Limited
1519,SADBHIN,Sadbhav Infrastructure Project Limited
1520,SADHNAN-RE,Sadhana Nitrochem Ltd-RE
1521,SADHNANIQ,Sadhana Nitrochem Limited
1522,SAFARI,Safari Industries (India) Limited
1523,SAGARDEEP,Sagardeep Alloys Limited
1524,SAGCEM,Sagar Cements Limited
1525,SAH,Sah Polymers Limited
1526,SAHYADRI,Sahyadri Industries Limited
1527,SAIL,Steel Authority of India Limited
1528,SAKAR,Sakar Healthcare Limited
1529,SAKHTISUG,Sakthi Sugars Limited
1530,SAKSOFT,Saksoft Limited
1531,SAKUMA,Sakuma Exports Limited
1532,SALASAR,Salasar Techno Engineering Limited
1533,SALONA,Salona Cotspin Limited
1534,SALSTEEL,S.A.L. Steel Limited
1535,SALZERELEC,Salzer Electronics Limited
1536,SAMBHAAV,Sambhaav Media Limited
1537,SAMHI,Samhi Hotels Limited
1538,SAMMAANCAP,Sammaan Capital Limited
1539,SAMPANN,Sampann Utpadan India Limited
1540,SANCO,Sanco Industries Limited
1541,SANDESH,The Sandesh Limited
1542,SANDHAR,Sandhar Technologies Limited
1543,SANDUMA,Sandur Manganese & Iron Ores Limited
1544,SANGAMIND,Sangam (India) Limited
1545,SANGHIIND,Sanghi Industries Limited
1546,SANGHVIMOV,Sanghvi Movers Limited
1547,SANGINITA,Sanginita Chemicals Limited
1548,SANOFI,Sanofi India Limited
1549,SANOFICONR,Sanofi Consumer Healthcare India Limited
1550,SANSERA,Sansera Engineering Limited
1551,SANSTAR,Sanstar Limited
1552,SANWARIA,Sanwaria Consumer Limited
1553,SAPPHIRE,Sapphire Foods India Limited
1554,SARDAEN,Sarda Energy & Minerals Limited
1555,SAREGAMA,Saregama India Limited
1556,SARLAPOLY,Sarla Performance Fibers Limited
1557,SARVESHWAR,Sarveshwar Foods Limited
1558,SASKEN,Sasken Technologies Limited
1559,SASTASUNDR,Sastasundar Ventures Limited
1560,SATIA,Satia Industries Limited
1561,SATIN,Satin Creditcare Network Limited
1562,SATINDLTD,Sat Industries Limited
1563,SAURASHCEM,Saurashtra Cement Limited
1564,SBC,SBC Exports Limited
1565,SBCL,Shivalik Bimetal Controls Limited
1566,SBFC,SBFC Finance Limited
1567,SBGLP,Suratwwala Business Group Limited
1568,SBICARD,SBI Cards and Payment Services Limited
1569,SBILIFE,SBI Life Insurance Company Limited
1570,SBIN,State Bank of India
1571,SCHAEFFLER,Schaeffler India Limited
1572,SCHAND,S Chand And Company Limited
1573,SCHNEIDER,Schneider Electric Infrastructure Limited
1574,SCI,Shipping Corporation Of India Limited
1575,SCILAL,Shipping Corporation of India Land and Assets Limited
1576,SCPL,Sheetal Cool Products Limited
1577,SDBL,Som Distilleries & Breweries Limited
1578,SEAMECLTD,Seamec Limited
1579,SECMARK,SecMark Consultancy Limited
1580,SECURCRED,SecUR Credentials Limited
1581,SECURKLOUD,SECUREKLOUD TECHNOLOGIES LIMITED
1582,SEJALLTD,Sejal Glass Limited
1583,SELAN,Selan Exploration Technology Limited
1584,SELMC,SEL Manufacturing Company Limited
1585,SEMAC,SEMAC CONSULTANTS LIMITED
1586,SENCO,Senco Gold Limited
1587,SEPC,SEPC Limited
1588,SEQUENT,Sequent Scientific Limited
1589,SERVOTECH,Servotech Power Systems Limited
1590,SESHAPAPER,Seshasayee Paper and Boards Limited
1591,SETCO,Setco Automotive Limited
1592,SETUINFRA,Setubandhan Infrastructure Limited
1593,SFL,Sheela Foam Limited
1594,SGIL,Synergy Green Industries Limited
1595,SGIL-RE,Synergy Green Ind Ltd-RE
1596,SGL,STL Global Limited
1597,SHAH,Shah Metacorp Limited
1598,SHAHALLOYS,Shah Alloys Limited
1599,SHAILY,Shaily Engineering Plastics Limited
1600,SHAKTIPUMP,Shakti Pumps (India) Limited
1601,SHALBY,Shalby Limited
1602,SHALPAINTS,Shalimar Paints Limited
1603,SHANKARA,Shankara Building Products Limited
1604,SHANTI,Shanti Overseas (India) Limited
1605,SHANTIGEAR,Shanthi Gears Limited
1606,SHARDACROP,Sharda Cropchem Limited
1607,SHARDAMOTR,Sharda Motor Industries Limited
1608,SHAREINDIA,Share India Securities Limited
1609,SHEKHAWATI,Shekhawati Industries Limited
1610,SHEMAROO,Shemaroo Entertainment Limited
1611,SHILPAMED,Shilpa Medicare Limited
1612,SHIVALIK,Shivalik Rasayan Limited
1613,SHIVAMAUTO,Shivam Autotech Limited
1614,SHIVAMILLS,Shiva Mills Limited
1615,SHIVATEX,Shiva Texyarn Limited
1616,SHK,S H Kelkar and Company Limited
1617,SHOPERSTOP,Shoppers Stop Limited
1618,SHRADHA,Shradha Infraprojects Limited
1619,SHREDIGCEM,Shree Digvijay Cement Co.Ltd
1620,SHREECEM,SHREE CEMENT LIMITED
1621,SHREEPUSHK,Shree Pushkar Chemicals & Fertilisers Limited
1622,SHREERAMA,Shree Rama Multi-Tech Limited
1623,SHRENIK,Shrenik Limited
1624,SHREYANIND,Shreyans Industries Limited
1625,SHREYAS,Shreyas Shipping & Logistics Limited
1626,SHRIPISTON,Shriram Pistons & Rings Limited
1627,SHRIRAMFIN,Shriram Finance Limited
1628,SHRIRAMPPS,Shriram Properties Limited
1629,SHYAMCENT,Shyam Century Ferrous Limited
1630,SHYAMMETL,Shyam Metalics and Energy Limited
1631,SHYAMTEL,Shyam Telecom Limited
1632,SIEMENS,Siemens Limited
1633,SIGACHI,Sigachi Industries Limited
1634,SIGIND,Signet Industries Limited
1635,SIGMA,Sigma Solve Limited
1636,SIGNATURE,Signatureglobal (India) Limited
1637,SIGNPOST,Signpost India Limited
1638,SIKKO,Sikko Industries Limited
1639,SIL,Standard Industries Limited
1640,SILGO,Silgo Retail Limited
1641,SILINV,SIL Investments Limited
1642,SILLYMONKS,Silly Monks Entertainment Limited
1643,SILVERTUC,Silver Touch Technologies Limited
1644,SIMBHALS,Simbhaoli Sugars Limited
1645,SIMPLEXINF,Simplex Infrastructures Limited
1646,SINCLAIR,Sinclairs Hotels Limited
1647,SINDHUTRAD,Sindhu Trade Links Limited
1648,SINTERCOM,Sintercom India Limited
1649,SIRCA,Sirca Paints India Limited
1650,SIS,SIS LIMITED
1651,SITINET,Siti Networks Limited
1652,SIYSIL,Siyaram Silk Mills Limited
1653,SJS,S.J.S. Enterprises Limited
1654,SJVN,SJVN Limited
1655,SKFINDIA,SKF India Limited
1656,SKIPPER,Skipper Limited
1657,SKMEGGPROD,SKM Egg Products Export (India) Limited
1658,SKYGOLD,Sky Gold Limited
1659,SMARTLINK,Smartlink Holdings Limited
1660,SMCGLOBAL,SMC Global Securities Limited
1661,SMLISUZU,SML Isuzu Limited
1662,SMLT,Sarthak Metals Limited
1663,SMSLIFE,SMS Lifesciences India Limited
1664,SMSPHARMA,SMS Pharmaceuticals Limited
1665,SNOWMAN,Snowman Logistics Limited
1666,SOBHA,Sobha Limited
1667,SOFTTECH,Softtech Engineers Limited
1668,SOLARA,Solara Active Pharma Sciences Limited
1669,SOLARINDS,Solar Industries India Limited
1670,SOMANYCERA,Somany Ceramics Limited
1671,SOMATEX,Soma Textiles & Industries Limited
1672,SOMICONVEY,Somi Conveyor Beltings Limited
1673,SONACOMS,Sona BLW Precision Forgings Limited
1674,SONAMLTD,SONAM LIMITED
1675,SONATSOFTW,Sonata Software Limited
1676,SOTL,Savita Oil Technologies Limited
1677,SOUTHBANK,The South Indian Bank Limited
1678,SOUTHWEST,South West Pinnacle Exploration Limited
1679,SPAL,S. P. Apparels Limited
1680,SPANDANA,Spandana Sphoorty Financial Limited
1681,SPARC,Sun Pharma Advanced Research Company Limited
1682,SPCENET,Spacenet Enterprises India Limited
1683,SPECIALITY,Speciality Restaurants Limited
1684,SPENCERS,Spencer's Retail Limited
1685,SPIC,Southern Petrochemicals Industries Corporation  Limited
1686,SPLIL,SPL Industries Limited
1687,SPLPETRO,Supreme Petrochem Limited
1688,SPMLINFRA,SPML Infra Limited
1689,SPORTKING,Sportking India Limited
1690,SREEL,Sreeleathers Limited
1691,SRF,SRF Limited
1692,SRGHFL,SRG Housing Finance Limited
1693,SRHHYPOLTD,Sree Rayalaseema Hi-Strength Hypo Limited
1694,SRM,SRM Contractors Limited
1695,SRPL,Shree Ram Proteins Limited
1696,SSDL,Saraswati Saree Depot Limited
1697,SSWL,Steel Strips Wheels Limited
1698,STANLEY,Stanley Lifestyles Limited
1699,STAR,Strides Pharma Science Limited
1700,STARCEMENT,Star Cement Limited
1701,STARHEALTH,Star Health and Allied Insurance Company Limited
1702,STARPAPER,Star Paper Mills Limited
1703,STARTECK,Starteck Finance Limited
1704,STCINDIA,The State Trading Corporation of India Limited
1705,STEELCAS,Steelcast Limited
1706,STEELCITY,Steel City Securities Limited
1707,STEELXIND,STEEL EXCHANGE INDIA LIMITED
1708,STEL,Stel Holdings Limited
1709,STERTOOLS,Sterling Tools Limited
1710,STLTECH,Sterlite Technologies Limited
1711,STOVEKRAFT,Stove Kraft Limited
1712,STYLAMIND,Stylam Industries Limited
1713,STYLEBAAZA,Baazar Style Retail Limited
1714,STYRENIX,Styrenix Performance Materials Limited
1715,SUBEXLTD,Subex Limited
1716,SUBROS,Subros Limited
1717,SUDARSCHEM,Sudarshan Chemical Industries Limited
1718,SUKHJITS,Sukhjit Starch & Chemicals Limited
1719,SULA,Sula Vineyards Limited
1720,SUMEETINDS,Sumeet Industries Limited
1721,SUMICHEM,Sumitomo Chemical India Limited
1722,SUMIT,Sumit Woods Limited
1723,SUMMITSEC,Summit Securities Limited
1724,SUNCLAY,Sundaram Clayton Limited
1725,SUNDARAM,Sundaram Multi Pap Limited
1726,SUNDARMFIN,Sundaram Finance Limited
1727,SUNDARMHLD,Sundaram Finance Holdings Limited
1728,SUNDRMBRAK,Sundaram Brake Linings Limited
1729,SUNDRMFAST,Sundram Fasteners Limited
1730,SUNFLAG,Sunflag Iron And Steel Company Limited
1731,SUNPHARMA,Sun Pharmaceutical Industries Limited
1732,SUNTECK,Sunteck Realty Limited
1733,SUNTV,Sun TV Network Limited
1734,SUPERHOUSE,Superhouse Limited
1735,SUPERSPIN,Super Spinning Mills Limited
1736,SUPRAJIT,Suprajit Engineering Limited
1737,SUPREMEENG,Supreme Engineering Limited
1738,SUPREMEIND,Supreme Industries Limited
1739,SUPREMEINF,Supreme Infrastructure India Limited
1740,SUPRIYA,Supriya Lifescience Limited
1741,SURAJEST,Suraj Estate Developers Limited
1742,SURAJLTD,Suraj Limited
1743,SURANASOL,Surana Solar Limited
1744,SURANAT&P,Surana Telecom and Power Limited
1745,SURYALAXMI,Suryalakshmi Cotton Mills Limited
1746,SURYAROSNI,Surya Roshni Limited
1747,SURYODAY,Suryoday Small Finance Bank Limited
1748,SUTLEJTEX,Sutlej Textiles and Industries Limited
1749,SUULD,Suumaya Industries Limited
1750,SUVEN,Suven Life Sciences Limited
1751,SUVENPHAR,Suven Pharmaceuticals Limited
1752,SUVIDHAA,Suvidhaa Infoserve Limited
1753,SUYOG,Suyog Telematics Limited
1754,SUZLON,Suzlon Energy Limited
1755,SVLL,Shree Vasu Logistics Limited
1756,SVPGLOB,SVP GLOBAL TEXTILES LIMITED
1757,SWANENERGY,Swan Energy Limited
1758,SWARAJENG,Swaraj Engines Limited
1759,SWELECTES,Swelect Energy Systems Limited
1760,SWSOLAR,Sterling and Wilson Renewable Energy Limited
1761,SYMPHONY,Symphony Limited
1762,SYNCOMF,Syncom Formulations (India) Limited
1763,SYNGENE,Syngene International Limited
1764,SYRMA,Syrma SGS Technology Limited
1765,TAINWALCHM,Tainwala Chemical and Plastic (I) Limited
1766,TAJGVK,Taj GVK Hotels & Resorts Limited
1767,TAKE,Take Solutions Limited
1768,TALBROAUTO,Talbros Automotive Components Limited
1769,TANLA,Tanla Platforms Limited
1770,TARACHAND,Tara Chand InfraLogistic Solutions Limited
1771,TARAPUR,Tarapur Transformers Limited
1772,TARC,Anant Raj Global Limited
1773,TARIL,Transformers And Rectifiers (India) Limited
1774,TARMAT,Tarmat Limited
1775,TARSONS,Tarsons Products Limited
1776,TASTYBITE,Tasty Bite Eatables Limited
1777,TATACHEM,Tata Chemicals Limited
1778,TATACOMM,Tata Communications Limited
1779,TATACONSUM,TATA CONSUMER PRODUCTS LIMITED
1780,TATAELXSI,Tata Elxsi Limited
1781,TATAINVEST,Tata Investment Corporation Limited
1782,TATAMOTORS,Tata Motors Limited
1783,TATAPOWER,Tata Power Company Limited
1784,TATASTEEL,Tata Steel Limited
1785,TATATECH,Tata Technologies Limited
1786,TATVA,Tatva Chintan Pharma Chem Limited
1787,TBOTEK,TBO Tek Limited
1788,TBZ,Tribhovandas Bhimji Zaveri Limited
1789,TCI,Transport Corporation of India Limited
1790,TCIEXP,TCI Express Limited
1791,TCIFINANCE,TCI Finance Limited
1792,TCLCONS,Tantia Constructions Limited
1793,TCPLPACK,TCPL Packaging Limited
1794,TCS,Tata Consultancy Services Limited
1795,TDPOWERSYS,TD Power Systems Limited
1796,TEAMLEASE,Teamlease Services Limited
1797,TECHIN,Techindia Nirman Limited
1798,TECHM,Tech Mahindra Limited
1799,TECHNOE,Techno Electric & Engineering Company Limited
1800,TECILCHEM,TECIL Chemicals and Hydro Power Limited
1801,TEGA,Tega Industries Limited
1802,TEJASNET,Tejas Networks Limited
1803,TEMBO,Tembo Global Industries Limited
1804,TERASOFT,Tera Software Limited
1805,TEXINFRA,Texmaco Infrastructure & Holdings Limited
1806,TEXMOPIPES,Texmo Pipes and Products Limited
1807,TEXRAIL,Texmaco Rail & Engineering Limited
1808,TFCILTD,Tourism Finance Corporation of India Limited
1809,TFL,Transwarranty Finance Limited
1810,TGBHOTELS,TGB Banquets And Hotels Limited
1811,THANGAMAYL,Thangamayil Jewellery Limited
1812,THEINVEST,The Investment Trust Of India Limited
1813,THEJO,Thejo Engineering Limited
1814,THEMISMED,Themis Medicare Limited
1815,THERMAX,Thermax Limited
1816,THOMASCOOK,Thomas Cook  (India)  Limited
1817,THOMASCOTT,Thomas Scott (India) Limited
1818,THYROCARE,Thyrocare Technologies Limited
1819,TI,Tilaknagar Industries Limited
1820,TIDEWATER,Tide Water Oil Company (India) Limited
1821,TIIL,Technocraft Industries (India) Limited
1822,TIINDIA,Tube Investments of India Limited
1823,TIJARIA,Tijaria Polypipes Limited
1824,TIL,TIL Limited
1825,TIMESGTY,Times Guaranty Limited
1826,TIMETECHNO,Time Technoplast Limited
1827,TIMKEN,Timken India Limited
1828,TIPSFILMS,Tips Films Limited
1829,TIPSINDLTD,TIPS Industries Limited
1830,TIRUMALCHM,Thirumalai Chemicals Limited
1831,TIRUPATIFL,Tirupati Forge Limited
1832,TITAGARH,TITAGARH RAIL SYSTEMS LIMITED
1833,TITAN,Titan Company Limited
1834,TMB,Tamilnad Mercantile Bank Limited
1835,TNPETRO,Tamilnadu PetroProducts Limited
1836,TNPL,Tamil Nadu Newsprint & Papers Limited
1837,TNTELE,Tamilnadu Telecommunication Limited
1838,TOKYOPLAST,Tokyo Plast International Limited
1839,TOLINS,Tolins Tyres Limited
